Timestamp,Packet Length,Src IP,Dst IP,TTL,Protocol,Src Port,Dst Port,TCP Flags,TCP Window Size,TLS Version,TLS Content Type,TLS Record Length,Flow Hash,Packet Inter-arrival Time
1741281977.800232,69,10.100.102.3,10.100.102.1,128,UDP,58220,53,,,,,,855271658905996146,0.0
1741281977.802559,69,10.100.102.1,10.100.102.3,64,UDP,53,58220,,,,,,2089953706904417518,0.00232696533203125
1741281977.880176,79,10.100.102.3,10.100.102.1,128,UDP,58843,53,,,,,,5954745936335826822,0.07761716842651367
1741281977.880542,79,10.100.102.3,10.100.102.1,128,UDP,50996,53,,,,,,7280016757831925755,0.00036597251892089844
1741281977.881755,74,10.100.102.3,10.100.102.1,128,UDP,55937,53,,,,,,-8253891319611583207,0.00121307373046875
1741281977.881951,74,10.100.102.3,10.100.102.1,128,UDP,64881,53,,,,,,-6881031444190247543,0.00019598007202148438
1741281977.885502,95,10.100.102.1,10.100.102.3,64,UDP,53,58843,,,,,,4208109640692352868,0.003551006317138672
1741281977.885502,129,10.100.102.1,10.100.102.3,64,UDP,53,50996,,,,,,5419598551781185373,0.0
1741281977.88792,1292,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.0024178028106689453
1741281977.88809,1292,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.00016999244689941406
1741281977.888758,90,10.100.102.1,10.100.102.3,64,UDP,53,55937,,,,,,8064198485904718830,0.0006680488586425781
1741281977.888758,127,10.100.102.1,10.100.102.3,64,UDP,53,64881,,,,,,-335152352544392753,0.0
1741281977.890017,1292,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0012590885162353516
1741281977.89013,1292,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.00011301040649414062
1741281977.898641,82,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.008511066436767578
1741281977.898791,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0001499652862548828
1741281977.898791,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281977.898791,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281977.900775,1292,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0019838809967041016
1741281977.902024,73,10.100.102.3,10.100.102.1,128,UDP,55060,53,,,,,,-1934390434205116827,0.001249074935913086
1741281977.902265,73,10.100.102.3,10.100.102.1,128,UDP,60922,53,,,,,,-447941032346177386,0.0002410411834716797
1741281977.902646,66,10.100.102.3,142.250.75.100,128,TCP,60816,443,SYN,64240,,,,8695311299792523278,0.0003809928894042969
1741281977.908897,178,10.100.102.1,10.100.102.3,64,UDP,53,55060,,,,,,-5342838231218070093,0.006250858306884766
1741281977.909455,210,10.100.102.1,10.100.102.3,64,UDP,53,60922,,,,,,-4200728158163867971,0.0005581378936767578
1741281977.909455,66,142.250.75.100,10.100.102.3,123,TCP,443,60816,SYN+ACK,65535,,,,3069026499799137336,0.0
1741281977.909603,54,10.100.102.3,142.250.75.100,128,TCP,60816,443,ACK,512,,,,8695311299792523278,0.0001480579376220703
1741281977.910337,1466,10.100.102.3,142.250.75.100,128,TCP,60816,443,ACK,512,TLS 1.0,Handshake,1719,8695311299792523278,0.0007338523864746094
1741281977.910337,366,10.100.102.3,142.250.75.100,128,TCP,60816,443,PSH+ACK,512,,,,8695311299792523278,0.0
1741281977.911119,1292,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.000782012939453125
1741281977.91121,1292,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,9.107589721679688e-05
1741281977.911345,79,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.00013494491577148438
1741281977.918803,66,142.250.75.100,10.100.102.3,123,TCP,443,60816,ACK,1054,,,,3069026499799137336,0.0074579715728759766
1741281977.918803,54,142.250.75.100,10.100.102.3,123,TCP,443,60816,ACK,1048,,,,3069026499799137336,0.0
1741281977.9223,1292,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0034971237182617188
1741281977.936915,79,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.01461482048034668
1741281977.947854,1292,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.01093912124633789
1741281977.949871,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0020170211791992188
1741281977.949871,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281977.949946,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,7.486343383789062e-05
1741281977.949946,898,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281977.949946,85,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281977.950166,81,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0002200603485107422
1741281977.950547,81,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0003809928894042969
1741281977.95317,1292,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0026230812072753906
1741281977.953506,1292,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.00033593177795410156
1741281977.953506,1292,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0
1741281977.953506,522,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0
1741281977.954765,125,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0012590885162353516
1741281977.955007,115,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.00024199485778808594
1741281977.955626,81,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.0006189346313476562
1741281977.956123,1288,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0004971027374267578
1741281977.956233,1292,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.00010991096496582031
1741281977.956272,122,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,3.886222839355469e-05
1741281977.956433,156,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.00016117095947265625
1741281977.960313,1042,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.003880023956298828
1741281977.960313,179,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281977.960313,65,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281977.960556,75,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0002429485321044922
1741281977.960646,75,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,8.988380432128906e-05
1741281977.960755,82,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.00010919570922851562
1741281977.962594,69,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0018389225006103516
1741281977.962884,75,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0002899169921875
1741281977.96406,82,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0011761188507080078
1741281977.964573,522,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0005128383636474609
1741281977.964742,83,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.0001690387725830078
1741281977.966236,1292,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0014941692352294922
1741281977.966769,1292,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0005328655242919922
1741281977.966769,1292,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0
1741281977.966769,1292,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0
1741281977.966769,1292,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0
1741281977.966867,1292,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,9.799003601074219e-05
1741281977.967282,1292,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.0004150867462158203
1741281977.967442,81,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.00015997886657714844
1741281977.968436,1466,142.250.75.100,10.100.102.3,123,TCP,443,60816,ACK,1048,TLS 1.2,Application Data,4151,3069026499799137336,0.000993967056274414
1741281977.968436,1466,142.250.75.100,10.100.102.3,123,TCP,443,60816,ACK,1048,,,,3069026499799137336,0.0
1741281977.968436,1466,142.250.75.100,10.100.102.3,123,TCP,443,60816,PSH+ACK,1048,,,,3069026499799137336,0.0
1741281977.968436,1195,142.250.75.100,10.100.102.3,123,TCP,443,60816,PSH+ACK,1048,,,,3069026499799137336,0.0
1741281977.968506,54,10.100.102.3,142.250.75.100,128,TCP,60816,443,ACK,512,,,,8695311299792523278,7.009506225585938e-05
1741281977.968958,82,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.00045180320739746094
1741281977.970995,128,10.100.102.3,142.250.75.100,128,TCP,60816,443,PSH+ACK,512,,,,8695311299792523278,0.00203704833984375
1741281977.971833,78,10.100.102.3,10.100.102.1,128,UDP,49255,53,,,,,,2638012936770932008,0.0008380413055419922
1741281977.972066,78,10.100.102.3,10.100.102.1,128,UDP,52741,53,,,,,,-3355518166720177424,0.00023293495178222656
1741281977.975195,56,142.250.75.100,10.100.102.3,123,TCP,443,60816,ACK,1048,,,,3069026499799137336,0.0031290054321289062
1741281977.977283,158,10.100.102.1,10.100.102.3,64,UDP,53,49255,,,,,,5138919127434858079,0.0020880699157714844
1741281977.977283,135,10.100.102.1,10.100.102.3,64,UDP,53,52741,,,,,,8342220271369503380,0.0
1741281977.977889,79,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.0006060600280761719
1741281977.978598,1292,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.0007090568542480469
1741281977.978703,1292,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.0001049041748046875
1741281977.98385,152,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.005146980285644531
1741281977.984857,82,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.001007080078125
1741281977.986137,1292,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0012798309326171875
1741281977.986137,1292,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0
1741281977.986137,1292,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0
1741281977.986773,1292,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.0006361007690429688
1741281977.991428,66,10.100.102.3,142.250.75.74,128,TCP,60817,443,SYN,64240,,,,3015875821186484896,0.004654884338378906
1741281977.991763,66,10.100.102.3,108.177.96.84,128,TCP,60818,443,SYN,64240,,,,1859885319820063551,0.0003352165222167969
1741281977.991972,79,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.00020885467529296875
1741281977.992627,70,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0006549358367919922
1741281977.992627,84,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0
1741281977.998825,397,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.00619816780090332
1741281977.999902,66,142.250.75.74,10.100.102.3,122,TCP,443,60817,SYN+ACK,65535,,,,1273756630613861702,0.0010769367218017578
1741281978.000055,54,10.100.102.3,142.250.75.74,128,TCP,60817,443,ACK,512,,,,3015875821186484896,0.00015306472778320312
1741281978.000607,1466,10.100.102.3,142.250.75.74,128,TCP,60817,443,ACK,512,TLS 1.0,Handshake,1787,3015875821186484896,0.0005519390106201172
1741281978.000607,434,10.100.102.3,142.250.75.74,128,TCP,60817,443,PSH+ACK,512,,,,3015875821186484896,0.0
1741281978.00085,82,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.0002429485321044922
1741281978.001409,131,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.0005590915679931641
1741281978.001649,114,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.00023984909057617188
1741281978.001992,399,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.00034308433532714844
1741281978.002285,136,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0002930164337158203
1741281978.004768,81,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.002482891082763672
1741281978.005041,329,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.00027298927307128906
1741281978.005041,330,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0
1741281978.005041,105,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0
1741281978.005041,63,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0
1741281978.005041,112,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0
1741281978.005118,79,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,7.700920104980469e-05
1741281978.005312,73,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.00019407272338867188
1741281978.005432,73,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.00011992454528808594
1741281978.00709,66,142.250.75.74,10.100.102.3,122,TCP,443,60817,ACK,1054,,,,1273756630613861702,0.0016582012176513672
1741281978.00709,54,142.250.75.74,10.100.102.3,122,TCP,443,60817,ACK,1047,,,,1273756630613861702,0.0
1741281978.007632,66,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0005419254302978516
1741281978.008378,70,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0007460117340087891
1741281978.010357,305,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0019788742065429688
1741281978.010357,63,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0
1741281978.010647,77,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,0.00029015541076660156
1741281978.035491,1292,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.024843931198120117
1741281978.035491,1292,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0
1741281978.035491,1292,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0
1741281978.035491,213,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0
1741281978.035491,84,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0
1741281978.035827,81,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.00033593177795410156
1741281978.036096,81,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.00026917457580566406
1741281978.036205,74,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.00010895729064941406
1741281978.036268,74,10.100.102.3,62.0.96.186,128,UDP,52030,443,,,,,,-6582233094740395969,6.29425048828125e-05
1741281978.037175,125,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.0009069442749023438
1741281978.037342,110,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.0001671314239501953
1741281978.037725,634,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.0003829002380371094
1741281978.039561,877,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0018360614776611328
1741281978.040244,66,62.0.96.186,10.100.102.3,60,UDP,443,52030,,,,,,6587812602217461518,0.0006830692291259766
1741281978.040968,131,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.0007238388061523438
1741281978.041162,111,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.00019407272338867188
1741281978.041585,1288,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.0004229545593261719
1741281978.041637,1292,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,5.1975250244140625e-05
1741281978.041669,1292,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,3.1948089599609375e-05
1741281978.041729,218,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,6.008148193359375e-05
1741281978.041756,115,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,2.6941299438476562e-05
1741281978.041772,992,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,1.5974044799804688e-05
1741281978.041772,179,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0
1741281978.041924,76,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.00015211105346679688
1741281978.042008,75,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,8.392333984375e-05
1741281978.04414,69,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0021321773529052734
1741281978.044275,75,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.00013494491577148438
1741281978.058534,1466,142.250.75.74,10.100.102.3,122,TCP,443,60817,ACK,1047,TLS 1.2,Application Data,4522,1273756630613861702,0.014258861541748047
1741281978.058534,1466,142.250.75.74,10.100.102.3,122,TCP,443,60817,ACK,1047,,,,1273756630613861702,0.0
1741281978.058571,54,10.100.102.3,142.250.75.74,128,TCP,60817,443,ACK,512,,,,3015875821186484896,3.719329833984375e-05
1741281978.058764,1466,142.250.75.74,10.100.102.3,122,TCP,443,60817,ACK,1047,,,,1273756630613861702,0.00019288063049316406
1741281978.058764,1466,142.250.75.74,10.100.102.3,122,TCP,443,60817,PSH+ACK,1047,,,,1273756630613861702,0.0
1741281978.058764,154,142.250.75.74,10.100.102.3,122,TCP,443,60817,PSH+ACK,1047,,,,1273756630613861702,0.0
1741281978.058773,54,10.100.102.3,142.250.75.74,128,TCP,60817,443,ACK,512,,,,3015875821186484896,9.059906005859375e-06
1741281978.059247,128,10.100.102.3,142.250.75.74,128,TCP,60817,443,PSH+ACK,512,,,,3015875821186484896,0.00047397613525390625
1741281978.059733,66,108.177.96.84,10.100.102.3,120,TCP,443,60818,SYN+ACK,65535,,,,2081117656104770349,0.0004858970642089844
1741281978.059824,54,10.100.102.3,108.177.96.84,128,TCP,60818,443,ACK,512,,,,1859885319820063551,9.107589721679688e-05
1741281978.060218,1466,10.100.102.3,108.177.96.84,128,TCP,60818,443,ACK,512,TLS 1.0,Handshake,1788,1859885319820063551,0.0003941059112548828
1741281978.060218,435,10.100.102.3,108.177.96.84,128,TCP,60818,443,PSH+ACK,512,,,,1859885319820063551,0.0
1741281978.064371,56,142.250.75.74,10.100.102.3,122,TCP,443,60817,ACK,1047,,,,1273756630613861702,0.004153013229370117
1741281978.064641,1020,142.250.75.74,10.100.102.3,122,TCP,443,60817,PSH+ACK,1047,,,,1273756630613861702,0.00026988983154296875
1741281978.10146,1288,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0368189811706543
1741281978.10146,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.10146,1183,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.101516,247,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,5.602836608886719e-05
1741281978.101888,77,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0003719329833984375
1741281978.101995,73,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.00010704994201660156
1741281978.108153,471,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.006158113479614258
1741281978.108153,73,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.10868,77,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0005269050598144531
1741281978.108962,294,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.00028204917907714844
1741281978.109094,82,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.00013184547424316406
1741281978.109172,77,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,7.82012939453125e-05
1741281978.109328,54,10.100.102.3,142.250.75.74,128,TCP,60817,443,ACK,509,,,,3015875821186484896,0.00015592575073242188
1741281978.112191,1288,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0028629302978515625
1741281978.112191,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.112191,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.112191,643,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.112191,199,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.112688,77,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0004971027374267578
1741281978.112803,73,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.00011491775512695312
1741281978.115107,65,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0023040771484375
1741281978.115107,995,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0
1741281978.115107,163,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0
1741281978.115107,65,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0
1741281978.115107,65,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0
1741281978.115107,69,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0
1741281978.126867,66,108.177.96.84,10.100.102.3,120,TCP,443,60818,ACK,1054,,,,2081117656104770349,0.01175999641418457
1741281978.126867,54,108.177.96.84,10.100.102.3,120,TCP,443,60818,ACK,1047,,,,2081117656104770349,0.0
1741281978.126867,723,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0
1741281978.126867,1466,108.177.96.84,10.100.102.3,120,TCP,443,60818,ACK,1047,TLS 1.2,Application Data,4163,2081117656104770349,0.0
1741281978.126867,1466,108.177.96.84,10.100.102.3,120,TCP,443,60818,PSH+ACK,1047,,,,2081117656104770349,0.0
1741281978.126867,1466,108.177.96.84,10.100.102.3,120,TCP,443,60818,ACK,1047,,,,2081117656104770349,0.0
1741281978.126945,54,10.100.102.3,108.177.96.84,128,TCP,60818,443,ACK,512,,,,1859885319820063551,7.796287536621094e-05
1741281978.127127,1207,108.177.96.84,10.100.102.3,120,TCP,443,60818,PSH+ACK,1047,,,,2081117656104770349,0.0001819133758544922
1741281978.127137,54,10.100.102.3,108.177.96.84,128,TCP,60818,443,ACK,508,,,,1859885319820063551,1.0013580322265625e-05
1741281978.12756,88,142.250.75.74,10.100.102.3,60,UDP,443,50425,,,,,,6265396324103786074,0.0004229545593261719
1741281978.128139,1287,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0005791187286376953
1741281978.128139,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.128139,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.128139,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.128139,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.128139,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.128139,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.129756,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0016169548034667969
1741281978.129756,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.129756,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.129756,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.129866,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.00010991096496582031
1741281978.129866,1292,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.129866,508,142.250.75.100,10.100.102.3,60,UDP,443,57446,,,,,,9017421418946350102,0.0
1741281978.132541,73,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.0026750564575195312
1741281978.132648,73,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,0.00010704994201660156
1741281978.132705,73,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,5.698204040527344e-05
1741281978.132754,73,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,4.9114227294921875e-05
1741281978.132807,73,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,5.2928924560546875e-05
1741281978.132867,73,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,6.008148193359375e-05
1741281978.132911,73,10.100.102.3,142.250.75.100,128,UDP,57446,443,,,,,,5373760412079658941,4.38690185546875e-05
1741281978.133229,73,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.0003180503845214844
1741281978.133805,79,10.100.102.3,142.250.75.74,128,UDP,50425,443,,,,,,6962708176919833642,0.000576019287109375
1741281978.135032,128,10.100.102.3,108.177.96.84,128,TCP,60818,443,PSH+ACK,508,,,,1859885319820063551,0.0012269020080566406
1741281978.136156,1288,108.177.96.84,10.100.102.3,57,UDP,443,55798,,,,,,3088410389403657645,0.0011241436004638672
1741281978.136697,79,10.100.102.3,10.100.102.1,128,UDP,55580,53,,,,,,-7073864968040399948,0.0005409717559814453
1741281978.136919,79,10.100.102.3,10.100.102.1,128,UDP,61066,53,,,,,,-8294160122002337825,0.0002219676971435547
1741281978.137239,73,10.100.102.3,108.177.96.84,128,UDP,55798,443,,,,,,-1438203712804492422,0.0003199577331542969
